Pueblo y grupos de edad;Total - Total;Total - Sexo - Varon ;Total - Sexo - Mujer;Area Urbana  - Total;Area Urbana  - Sexo - Varon ;Area Urbana  - Sexo - Mujer;Area Rural - Total;Area Rural - Sexo - Varon ;Area Rural - Sexo - Mujer
         De 40 a 44 anos;198;104;94; - ; - ; - ;198;104;94
         De 45 a 49 anos;170;99;71;1; - ;1;169;99;70
         De 50 a 54 anos;82;47;35;1;1; - ;81;46;35
         De 55 a 59 anos;58;29;29; - ; - ; - ;58;29;29
         De 60 a 64 anos;55;28;27; - ; - ; - ;55;28;27
         De 65 a 69 anos;47;24;23; - ; - ; - ;47;24;23
         De 70 a 74 anos;43;23;20; - ; - ; - ;43;23;20
         De 75 a 79 anos;20;11;9; - ; - ; - ;20;11;9
         De 80 a 84 anos;6;5;1; - ; - ; - ;6;5;1
         De 85 a 89 anos;4;3;1; - ; - ; - ;4;3;1
         De 90 anos y mas;2;1;1; - ; - ; - ;2;1;1
    Ybytoso;2.236;1.135;1.101;727;358;369;1.509;777;732
         De 0 a 4 anos;208;100;108;76;35;41;132;65;67
         De 5 a 9 anos;277;139;138;80;48;32;197;91;106
         De 10 a 14 anos;215;113;102;69;32;37;146;81;65
         De 15 a 19 anos;194;105;89;55;31;24;139;74;65
         De 20 a 24 anos;269;118;151;111;47;64;158;71;87
         De 25 a 29 anos;227;121;106;101;54;47;126;67;59
         De 30 a 34 anos;177;91;86;51;23;28;126;68;58
         De 35 a 39 anos;134;78;56;33;19;14;101;59;42
         De 40 a 44 anos;109;56;53;33;17;16;76;39;37
         De 45 a 49 anos;96;47;49;30;11;19;66;36;30
         De 50 a 54 anos;73;41;32;19;12;7;54;29;25
         De 55 a 59 anos;80;33;47;29;8;21;51;25;26
         De 60 a 64 anos;65;39;26;19;10;9;46;29;17
         De 65 a 69 anos;39;16;23;15;6;9;24;10;14
         De 70 a 74 anos;23;8;15;1;1; - ;22;7;15
         De 75 a 79 anos;28;16;12;2;2; - ;26;14;12
         De 80 a 84 anos;17;11;6;2;2; - ;15;9;6
         De 85 a 89 anos;4;2;2;1; - ;1;3;2;1
         De 90 anos y mas;1;1; - ; - ; - ; - ;1;1; - 
    Tomaraho;213;110;103;1;1; - ;212;109;103
         De 0 a 4 anos;38;20;18; - ; - ; - ;38;20;18
         De 5 a 9 anos;30;15;15; - ; - ; - ;30;15;15
         De 10 a 14 anos;17;9;8; - ; - ; - ;17;9;8
         De 15 a 19 anos;22;12;10; - ; - ; - ;22;12;10
         De 20 a 24 anos;26;14;12; - ; - ; - ;26;14;12
         De 25 a 29 anos;18;8;10;1;1; - ;17;7;10
         De 30 a 34 anos;16;8;8; - ; - ; - ;16;8;8
         De 35 a 39 anos;8;4;4; - ; - ; - ;8;4;4
         De 40 a 44 anos;8;4;4; - ; - ; - ;8;4;4
         De 45 a 49 anos;5;3;2; - ; - ; - ;5;3;2
         De 50 a 54 anos;7;3;4; - ; - ; - ;7;3;4
         De 55 a 59 anos;5;2;3; - ; - ; - ;5;2;3
         De 60 a 64 anos;7;3;4; - ; - ; - ;7;3;4
         De 65 a 69 anos;2;1;1; - ; - ; - ;2;1;1
         De 70 a 74 anos;1;1; - ; - ; - ; - ;1;1; - 
         De 75 a 79 anos;3;3; - ; - ; - ; - ;3;3; - 
         De 80 a 84 anos; - ; - ; - ; - ; - ; - ; - ; - ; - 
         De 85 a 89 anos; - ; - ; - ; - ; - ; - ; - ; - ; - 
         De 90 anos y mas; - ; - ; - ; - ; - ; - ; - ; - ; - 
    Qom;2.198;1.101;1.097;11;8;3;2.187;1.093;1.094
         De 0 a 4 anos;248;132;116;3;3; - ;245;129;116
         De 5 a 9 anos;280;131;149;1; - ;1;279;131;148
         De 10 a 14 anos;227;123;104;1;1; - ;226;122;104
         De 15 a 19 anos;229;122;107; - ; - ; - ;229;122;107
         De 20 a 24 anos;233;122;111; - ; - ; - ;233;122;111
         De 25 a 29 anos;197;91;106;2;1;1;195;90;105
         De 30 a 34 anos;179;82;97;2;1;1;177;81;96
         De 35 a 39 anos;122;60;62; - ; - ; - ;122;60;62
         De 40 a 44 anos;104;48;56; - ; - ; - ;104;48;56
         De 45 a 49 anos;91;41;50;1;1; - ;90;40;50
         De 50 a 54 anos;68;29;39; - ; - ; - ;68;29;39
         De 55 a 59 anos;72;39;33;1;1; - ;71;38;33
         De 60 a 64 anos;54;30;24; - ; - ; - ;54;30;24
         De 65 a 69 anos;41;24;17; - ; - ; - ;41;24;17
         De 70 a 74 anos;21;12;9; - ; - ; - ;21;12;9
         De 75 a 79 anos;17;7;10; - ; - ; - ;17;7;10
         De 80 a 84 anos;9;4;5; - ; - ; - ;9;4;5
         De 85 a 89 anos;4;3;1; - ; - ; - ;4;3;1
         De 90 anos y mas;2;1;1; - ; - ; - ;2;1;1
    No indigena;1.245;896;349;299;219;80;946;677;269
         De 0 a 4 anos;54;28;26;10;4;6;44;24;20
         De 5 a 9 anos;66;36;30;15;8;7;51;28;23
         De 10 a 14 anos;65;29;36;8;5;3;57;24;33
         De 15 a 19 anos;72;45;27;22;15;7;50;30;20
         De 20 a 24 anos;129;92;37;28;17;11;101;75;26
         De 25 a 29 anos;160;122;38;36;27;9;124;95;29
         De 30 a 34 anos;131;108;23;43;36;7;88;72;16
